province,candidate,votes,winner,district_name,constituency,party
Madhesh,Hari Prasad Upreti,5776,False,Sarlahi,3,UML
Madhesh,Amnish Kumar Yadav,9343,False,Sarlahi,4,UML
Madhesh,Ajay Kumar Gupta,10693,False,Rautahat,1,UML
Madhesh,Mohammad Atiullah,2382,False,Rautahat,2,UML
Madhesh,Kundan Prasad Kushwaha,6605,False,Rautahat,3,UML
Madhesh,Ramji Sah Sonar,3478,False,Rautahat,4,UML
Madhesh,Achyutprasad Mainali,11645,False,Bara,1,UML
Madhesh,Balbir Prasad Chaudhari,7213,False,Bara,2,UML
Madhesh,Jwalakumari Sah,5271,False,Bara,3,UML
Madhesh,Krishnakumar Shrestha,11639,False,Bara,4,UML
Madhesh,Pradip Yadav,13030,False,Parsa,1,UML
Madhesh,Rima Kumari Yadav,11605,False,Parsa,2,UML
Madhesh,Rupesh Kumar Pandey,11914,False,Parsa,3,UML
Madhesh,Jalim Miya Mansuri,12145,False,Parsa,4,UML
Bagmati,Pradip Kumar Katuwal Chhetri (K.C),15859,False,Sindhuli,1,UML
Bagmati,Manoj Jung Thapa,11606,False,Sindhuli,2,UML
Bagmati,Madhav Prasad Dhungel,17609,False,Ramechhap,1,UML
Bagmati,Parbat Gurung,17449,False,Dolakha,1,UML
Bagmati,Saresh Nepal,11961,False,Sindhupalchok,1,UML
Bagmati,Sher Bahadur Tamang,15926,False,Sindhupalchok,2,UML
Bagmati,Ami Tamang,13814,False,Kavrepalanchok,1,UML
Bagmati,Ashok Kumar Byanju Shrestha,13940,False,Kavrepalanchok,2,UML
Bagmati,Chet Nath Sanjel,6546,False,Lalitpur,1,UML
Bagmati,Prem Bahadur Maharjan,4536,False,Lalitpur,2,UML
Bagmati,Sandan Thapa Magar,3297,False,Lalitpur,3,UML
Bagmati,Som Prasad Mishra,3721,False,Bhaktapur,1,UML
Bagmati,Mahesh Basnet,10996,False,Bhaktapur,2,UML
Bagmati,Mohan Raj Regmi,1618,False,Kathmandu,1,UML
Bagmati,Maniram Phuyal,4759,False,Kathmandu,2,UML
