province,candidate,votes,winner,district_name,constituency,party,election_year
Lumbini,Sudhansu Koirala,17596,False,Banke,2,NC,2082
Lumbini,Amar Singh Pun,13215,False,Banke,3,NC,2082
Lumbini,Binod Kumar Chaudhary,9502,False,Nawalparasi West,1,NC,2082
Lumbini,Bhim Bahadur Thapa Chhetri,15945,False,Nawalparasi West,2,NC,2082
Lumbini,Kusum Devi Thapa,3081,False,Rukum East,1,NC,2082
Karnali,Raju KC,16661,False,Rukum West,1,NC,2082
Karnali,Kesh Bahadur Bista,17558,False,Salyan,1,NC,2082
Karnali,Bishnu Bahadur Khadka,26897,True,Surkhet,1,NC,2082
Karnali,Narayan Kumar Koirala,16378,False,Surkhet,2,NC,2082
Karnali,Basana Thapa,12372,True,Dailekh,1,NC,2082
Karnali,Dikpal Kumar Shahi,9552,False,Dailekh,2,NC,2082
Karnali,Khadak Bahadur Budha,20142,True,Jajarkot,1,NC,2082
Karnali,Karna Bahadur Budha,2947,False,Dolpa,1,NC,2082
Karnali,Jaya Pati Rokaya,8797,True,Humla,1,NC,2082
Karnali,Harsh Bahadur Bam,7133,False,Kalikot,1,NC,2082
Karnali,Khadga Shahi,7914,True,Mugu,1,NC,2082
Karnali,Dip Bahadur Shahi,7143,False,Jumla,1,NC,2082
Sudurpaschim,Janak Raj Giri,17173,True,Bajura,1,NC,2082
Sudurpaschim,Prakash Rasaili Snehi,16304,False,Bajhang,1,NC,2082
Sudurpaschim,Bharat Kumar Swar,10759,True,Achham,1,NC,2082
Sudurpaschim,Pushpa Bahadur Shah,9046,False,Achham,2,NC,2082
Sudurpaschim,Bharat Bahadur Khadka,14897,True,Doti,1,NC,2082
Sudurpaschim,Jankaraj Chaudhary,12867,False,Kailali,1,NC,2082
Sudurpaschim,Vijay Bahadur Swar,7213,False,Kailali,2,NC,2082
Sudurpaschim,Bhim Baduwal,9706,False,Kailali,3,NC,2082
Sudurpaschim,Gorakh Bahadur Bista,11301,False,Kailali,4,NC,2082
Sudurpaschim,Nar Narayan Shah,11958,False,Kailali,5,NC,2082
